[Header]	
System	TOC-L	
S/W Version	1.00	
User		
Date/Time	11/22/2019 9:02:46 AM	

[System]	
Instrument Options	TOC/ASI/IC Unit/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Origin	Cal. Curve	Manual Dilution	Notes	Date / Time	Spl. No.	Inj. No.	Analysis(Inj.)	Area	Conc.	Result	Excluded	Inj. Vol.	
Unknown	NPOC	Vial 1		C:\TOC-L\CalCurves\KP_lowNPOC_0_10.cal	C:\TOC-L\CalCurves\KP_lowNPOC_0_10.2019_10_02_14_58_37.cal	1.00		11/20/2019 10:39:19 AM	1	1	NPOC	11.18	-14.34	NPOC:-1.224mg/L	1	50	
Unknown	NPOC	Vial 1		C:\TOC-L\CalCurves\KP_lowNPOC_0_10.cal	C:\TOC-L\CalCurves\KP_lowNPOC_0_10.2019_10_02_14_58_37.cal	1.00		11/20/2019 10:41:41 AM	1	2	NPOC	1.082	-1.388	NPOC:-1.224mg/L	0	50	
Unknown	NPOC	Vial 1		C:\TOC-L\CalCurves\KP_lowNPOC_0_10.cal	C:\TOC-L\CalCurves\KP_lowNPOC_0_10.2019_10_02_14_58_37.cal	1.00		11/20/2019 10:45:04 AM	1	3	NPOC	0.8269	-1.061	NPOC:-1.224mg/L	0	50	
Unknown	NPOC	Vial 2		C:\TOC-L\CalCurves\KP_lowNPOC_0_10.cal	C:\TOC-L\CalCurves\KP_lowNPOC_0_10.2019_10_02_14_58_37.cal	1.00		11/20/2019 10:53:45 AM	1	1	NPOC	3.779	-4.848	NPOC:-0.7166mg/L	1	50	
Unknown	NPOC	Vial 2		C:\TOC-L\CalCurves\KP_lowNPOC_0_10.cal	C:\TOC-L\CalCurves\KP_lowNPOC_0_10.2019_10_02_14_58_37.cal	1.00		11/20/2019 10:56:20 AM	1	2	NPOC	0.5298	-0.6796	NPOC:-0.7166mg/L	0	50	
Unknown	NPOC	Vial 2		C:\TOC-L\CalCurves\KP_lowNPOC_0_10.cal	C:\TOC-L\CalCurves\KP_lowNPOC_0_10.2019_10_02_14_58_37.cal	1.00		11/20/2019 10:59:37 AM	1	3	NPOC	0.5874	-0.7535	NPOC:-0.7166mg/L	0	50	
Unknown	NPOC	Vial 3		C:\TOC-L\CalCurves\KP_lowNPOC_0_10.cal	C:\TOC-L\CalCurves\KP_lowNPOC_0_10.2019_10_02_14_58_37.cal	1.00		11/20/2019 11:08:35 AM	1	1	NPOC	7.587	-9.733	NPOC:-1.184mg/L	1	50	
Unknown	NPOC	Vial 3		C:\TOC-L\CalCurves\KP_lowNPOC_0_10.cal	C:\TOC-L\CalCurves\KP_lowNPOC_0_10.2019_10_02_14_58_37.cal	1.00		11/20/2019 11:10:53 AM	1	2	NPOC	1.341	-1.720	NPOC:-1.184mg/L	0	50	
Unknown	NPOC	Vial 3		C:\TOC-L\CalCurves\KP_lowNPOC_0_10.cal	C:\TOC-L\CalCurves\KP_lowNPOC_0_10.2019_10_02_14_58_37.cal	1.00		11/20/2019 11:14:02 AM	1	3	NPOC	0.5056	-0.6486	NPOC:-1.184mg/L	0	50	
Unknown	NPOC	Vial 4		C:\TOC-L\CalCurves\KP_lowNPOC_0_10.cal	C:\TOC-L\CalCurves\KP_lowNPOC_0_10.2019_10_02_14_58_37.cal	1.00		11/20/2019 11:23:04 AM	1	1	NPOC	12.66	-16.24	NPOC:-1.428mg/L	1	50	
